level_0,index,ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH,ID,Loc,Customer,Ph,Valid,Valid_CO2,bkps
2202,2202,2023-06-22 00:36:42,16.5,24.9,6.0,9.6,10.8,568.2,258.0,82.8,328.8,393.0,121.0,Study Desk,A5,XXXX,1,1,0
2203,2203,2023-06-22 00:36:43,16.9583,25.5917,6.1667,9.8667,11.1,583.9833,265.1667,85.1,337.9333,403.9167,121.0,Study Desk,A5,XXXX,1,1,0
2204,2204,2023-06-22 00:36:44,17.4167,26.2833,6.3333,10.1333,11.4,599.7667,272.3333,87.4,347.0667,414.8333,121.0,Study Desk,A5,XXXX,1,1,0
2205,2205,2023-06-22 00:36:45,17.875,26.975,6.5,10.4,11.7,615.55,279.5,89.7,356.2,425.75,121.0,Study Desk,A5,XXXX,1,1,0
2206,2206,2023-06-22 00:36:46,18.3333,27.6667,6.6667,10.6667,12.0,631.3333,286.6667,92.0,365.3333,436.6667,121.0,Study Desk,A5,XXXX,1,1,0
2207,2207,2023-06-22 00:36:47,18.7917,28.3583,6.8333,10.9333,12.3,647.1167,293.8333,94.3,374.4667,447.5833,121.0,Study Desk,A5,XXXX,1,1,0
2208,2208,2023-06-22 00:36:48,19.25,29.05,7.0,11.2,12.6,662.9,301.0,96.6,383.6,458.5,121.0,Study Desk,A5,XXXX,1,1,0
2209,2209,2023-06-22 00:36:49,19.7083,29.7417,7.1667,11.4667,12.9,678.6833,308.1667,98.9,392.7333,469.4167,121.0,Study Desk,A5,XXXX,1,1,0
2210,2210,2023-06-22 00:36:50,20.1667,30.4333,7.3333,11.7333,13.2,694.4667,315.3333,101.2,401.8667,480.3333,121.0,Study Desk,A5,XXXX,1,1,0
2211,2211,2023-06-22 00:36:51,20.625,31.125,7.5,12.0,13.5,710.25,322.5,103.5,411.0,491.25,121.0,Study Desk,A5,XXXX,1,1,0
2212,2212,2023-06-22 00:36:52,21.0833,31.8167,7.6667,12.2667,13.8,726.0333,329.6667,105.8,420.1333,502.1667,121.0,Study Desk,A5,XXXX,1,1,0
2213,2213,2023-06-22 00:36:53,21.5417,32.5083,7.8333,12.5333,14.1,741.8167,336.8333,108.1,429.2667,513.0833,121.0,Study Desk,A5,XXXX,1,1,0
2214,2214,2023-06-22 00:36:54,22.0,33.2,8.0,12.8,14.4,757.6,344.0,110.4,438.4,524.0,121.0,Study Desk,A5,XXXX,1,1,0
